state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn
OH,149,area_code_408,False,False,0,196.3,108,136.8,96,154.7,87,7.7,3,2,False
IL,148,area_code_408,False,True,25,230.7,102,233.8,109,215.8,90,13.5,2,3,False
MT,122,area_code_510,False,False,0,190.0,125,141.5,77,216.8,68,15.9,3,3,False
MS,122,area_code_408,False,True,45,147.8,85,147.4,93,203.5,110,14.0,5,1,False
WI,82,area_code_408,False,False,0,217.6,82,169.4,101,248.9,124,12.7,3,0,False
HI,137,area_code_510,False,True,20,268.5,91,128.8,121,146.4,98,12.7,6,1,False
MI,76,area_code_415,False,True,37,190.8,58,221.9,101,211.2,104,12.3,4,1,False
VA,118,area_code_408,False,False,0,154.8,71,244.0,73,159.6,81,12.8,4,0,False
MN,139,area_code_510,False,False,0,134.4,106,211.3,98,193.6,125,10.2,2,5,True
OH,83,area_code_415,False,False,0,337.4,120,227.4,116,153.9,114,15.8,7,0,True
AL,91,area_code_510,False,True,23,232.4,97,186.0,88,190.5,128,12.3,3,3,False
AL,112,area_code_510,False,False,0,189.4,83,219.0,89,168.0,116,7.1,8,3,False
MI,86,area_code_408,False,False,0,148.2,71,285.1,91,166.4,155,6.2,3,2,False
TX,48,area_code_510,False,False,0,198.2,108,181.0,70,238.9,86,12.1,2,1,False
AR,99,area_code_408,False,True,21,180.2,97,167.7,47,203.1,84,14.6,5,2,False
TN,121,area_code_415,False,False,0,217.3,79,218.0,106,166.5,69,11.5,7,1,False
NY,111,area_code_415,False,False,0,181.8,117,158.1,91,266.2,123,9.7,9,0,False
MS,130,area_code_510,False,False,0,203.9,63,191.8,93,132.5,125,12.1,4,3,False
WY,107,area_code_510,False,True,31,160.3,45,221.5,70,261.6,109,5.6,1,1,False
IA,74,area_code_408,False,False,0,156.3,102,273.1,118,215.8,113,9.0,4,3,False
OR,95,area_code_415,False,False,0,167.6,96,176.0,89,250.9,113,13.4,6,2,False
OH,75,area_code_510,False,True,46,214.1,62,200.9,111,246.8,126,9.2,6,0,False
MS,114,area_code_415,False,True,34,154.4,109,221.4,142,208.5,103,10.3,5,0,False
PA,114,area_code_415,False,False,0,155.3,75,169.9,87,207.0,133,12.6,5,2,False
DC,68,area_code_415,True,True,39,142.0,140,241.6,89,302.0,72,11.3,5,1,False
TN,119,area_code_415,False,False,0,130.5,98,249.5,91,219.9,117,12.7,1,3,False
NJ,91,area_code_415,False,False,0,93.5,110,213.3,79,171.7,83,8.9,4,4,True
WA,70,area_code_415,False,False,0,229.3,110,118.2,89,155.0,105,7.9,4,1,False
ID,73,area_code_510,False,True,28,198.2,107,139.1,123,199.1,139,8.8,1,2,False
OR,92,area_code_415,False,False,0,114.6,94,209.0,78,209.7,97,8.3,5,2,False
VT,131,area_code_415,False,False,0,175.1,73,171.9,116,131.1,94,7.3,6,1,False
FL,127,area_code_415,False,True,24,211.5,121,183.9,115,186.2,103,13.5,1,3,False
ND,104,area_code_415,False,False,0,118.5,92,177.8,109,255.7,98,12.1,4,1,False
KY,120,area_code_408,False,False,0,180.8,93,190.1,82,192.3,66,10.5,7,2,False
KS,70,area_code_415,False,False,0,325.5,128,300.3,105,199.8,93,5.7,7,1,True
MS,43,area_code_510,False,False,0,159.5,99,119.7,149,173.9,126,6.8,3,2,False
OR,25,area_code_408,False,False,0,178.8,90,141.2,72,203.0,99,8.4,5,2,False
VA,112,area_code_408,False,True,29,198.8,122,238.6,114,289.5,69,11.5,5,1,False
GA,99,area_code_510,False,False,0,214.9,103,218.4,121,272.6,110,9.6,3,2,False
MO,95,area_code_415,True,False,0,165.5,84,286.2,112,198.9,89,11.5,2,1,True
WI,142,area_code_408,False,True,24,239.8,103,285.9,65,256.7,106,9.5,4,0,False
MT,100,area_code_415,False,False,0,96.5,86,210.2,133,146.4,106,12.5,3,1,True
WV,83,area_code_415,False,True,37,78.5,109,210.5,101,179.7,102,11.8,4,1,False
LA,93,area_code_415,False,False,0,179.3,93,178.6,98,225.2,131,11.5,6,3,False
NM,110,area_code_415,False,False,0,198.2,92,147.1,97,199.6,76,16.5,4,4,False
MS,117,area_code_415,False,False,0,189.8,122,235.6,94,270.8,120,12.7,2,1,False
NC,64,area_code_408,False,True,19,291.1,150,226.7,123,219.1,67,7.5,2,1,False
UT,164,area_code_510,False,False,0,192.1,95,249.8,94,132.6,100,7.3,3,3,False
DC,74,area_code_415,False,False,0,85.7,83,247.7,67,142.4,85,10.1,5,2,False
CT,73,area_code_415,False,True,47,173.7,117,204.0,114,174.6,94,6.3,3,2,False
NY,65,area_code_510,False,False,0,195.4,110,181.2,109,178.5,105,8.9,4,0,False
UT,44,area_code_415,False,False,0,202.6,89,163.0,96,268.1,151,8.3,3,0,False
IN,168,area_code_415,False,False,0,160.6,110,185.2,120,120.2,104,9.1,4,1,True
VT,101,area_code_510,False,False,0,0.0,0,192.1,119,168.8,95,7.2,4,1,False
GA,64,area_code_510,False,False,0,216.9,78,211.0,115,179.8,116,11.4,5,3,False
NM,147,area_code_510,False,False,0,248.6,83,148.9,85,172.5,109,8.0,4,3,False
VT,109,area_code_415,False,False,0,134.3,99,203.9,103,297.7,91,7.6,2,3,False
WI,111,area_code_415,False,False,0,246.5,108,216.3,89,179.6,99,12.7,3,2,False
ND,82,area_code_415,False,True,29,163.8,77,134.9,112,79.3,95,8.8,2,2,False
DC,80,area_code_408,False,False,0,51.5,90,164.0,98,169.4,80,9.5,4,3,False
WY,101,area_code_415,False,True,24,240.5,103,280.5,78,212.8,69,10.4,5,2,False
NC,92,area_code_408,False,False,0,192.1,87,193.0,122,133.4,79,10.7,2,1,False
MO,83,area_code_415,False,False,0,196.7,117,272.0,89,199.9,62,10.1,11,3,False
WV,67,area_code_510,False,False,0,152.5,131,252.4,107,185.4,104,4.9,3,2,False
IN,51,area_code_510,False,False,0,214.8,94,149.7,58,283.4,66,10.2,5,0,False
CT,59,area_code_415,False,True,46,200.1,44,126.0,78,146.3,123,10.6,5,1,False
MA,57,area_code_510,False,False,0,154.2,78,196.7,85,253.5,97,10.1,9,1,False
OK,99,area_code_408,False,False,0,155.6,90,240.1,117,230.8,88,10.8,4,3,False
WV,3,area_code_408,False,False,0,182.9,87,172.1,103,233.1,89,12.1,3,4,False
CT,162,area_code_408,False,False,0,49.2,121,143.9,136,203.0,97,12.1,13,1,False
SD,221,area_code_510,False,True,24,180.5,85,224.1,92,205.7,103,2.4,3,0,False
MI,112,area_code_510,False,False,0,243.4,77,182.1,97,259.2,94,12.8,2,1,False
IN,98,area_code_408,False,True,21,64.6,98,176.1,86,244.8,84,0.0,0,2,False
MN,46,area_code_415,False,False,0,214.1,72,164.4,104,177.5,113,8.2,3,2,False
KS,116,area_code_408,True,False,0,232.2,98,244.7,91,151.3,69,10.6,1,7,True
MO,160,area_code_415,False,False,0,171.2,103,243.5,121,178.2,92,13.0,3,2,False
OR,133,area_code_415,False,False,0,143.8,71,184.0,131,275.5,132,12.9,4,3,False
CO,88,area_code_510,False,False,0,61.9,78,262.6,114,212.5,110,8.8,2,3,False
IL,117,area_code_408,False,False,0,228.3,84,152.6,92,309.7,101,3.7,3,3,False
AL,98,area_code_408,False,False,0,207.0,94,256.3,64,137.6,60,10.4,4,2,False
SC,22,area_code_408,False,False,0,110.3,107,166.5,93,202.3,96,9.5,5,0,False
IA,81,area_code_510,False,False,0,203.5,89,289.6,69,212.9,71,8.7,3,3,False
AK,36,area_code_408,False,True,30,146.3,128,162.5,80,129.3,109,14.5,6,0,False
NH,170,area_code_415,False,False,0,222.8,82,148.2,105,231.1,75,13.3,5,1,False
SC,36,area_code_408,False,True,43,29.9,123,129.1,117,325.9,105,8.6,6,2,False
AR,76,area_code_408,False,False,0,107.3,140,238.2,133,271.8,116,10.0,3,4,True
ND,124,area_code_415,False,False,0,150.3,101,255.9,112,136.7,62,12.5,4,2,False
KY,133,area_code_415,False,False,0,226.8,87,127.9,93,160.1,89,9.2,3,0,False
MA,65,area_code_408,False,False,0,158.3,71,168.3,119,139.9,119,6.6,6,2,False
MN,122,area_code_415,False,False,0,107.9,88,235.8,109,228.6,119,9.5,3,2,False
WA,88,area_code_510,False,False,0,202.6,139,210.7,123,81.1,86,9.8,8,1,False
IL,66,area_code_415,False,True,21,134.4,110,136.2,104,215.6,105,9.7,4,3,False
OH,114,area_code_415,False,False,0,191.5,88,175.2,78,220.3,118,0.0,0,0,False
RI,75,area_code_415,False,False,0,190.5,91,178.4,75,162.4,113,13.1,5,1,False
MO,6,area_code_510,False,False,0,183.6,117,256.7,72,178.6,79,10.2,2,1,False
IA,92,area_code_415,False,False,0,138.1,131,175.7,128,192.7,119,10.0,3,3,False
AK,58,area_code_510,False,False,0,131.9,96,167.6,107,205.9,106,14.7,5,3,False
OR,100,area_code_415,False,False,0,129.4,69,251.3,73,157.1,92,10.4,3,1,False
WI,120,area_code_408,False,True,26,239.4,94,259.4,88,238.0,132,7.7,3,0,False
MS,72,area_code_510,False,False,0,168.3,76,212.4,126,200.2,132,12.0,3,2,False
OK,86,area_code_415,False,True,33,253.1,112,210.1,94,95.0,98,11.9,4,3,False
IN,86,area_code_510,False,False,0,216.3,96,266.3,77,214.0,110,4.5,3,0,False
GA,141,area_code_510,False,True,23,149.7,112,162.5,118,220.3,115,7.6,2,3,False
MI,61,area_code_415,False,True,33,270.7,53,200.7,116,201.7,102,10.9,3,3,False
HI,155,area_code_415,True,True,26,211.7,121,139.2,123,146.7,89,11.1,3,1,False
IA,80,area_code_408,False,True,22,182.8,142,229.3,111,313.8,85,11.3,2,1,False
MN,62,area_code_415,False,False,0,147.1,91,190.4,107,195.2,115,12.2,3,0,False
ID,105,area_code_408,False,False,0,232.6,96,253.4,117,154.0,101,10.5,9,1,False
AL,90,area_code_415,False,False,0,214.9,97,117.8,117,133.7,78,11.8,2,2,False
KY,86,area_code_408,False,False,0,139.1,95,146.2,82,186.8,120,11.8,5,2,False
WI,63,area_code_510,False,True,13,214.2,61,181.2,88,174.0,68,10.3,2,0,False
WY,114,area_code_415,False,True,32,125.2,79,177.8,105,232.4,89,12.9,3,1,False
MD,76,area_code_415,True,False,0,273.3,66,263.6,121,165.2,84,12.0,7,1,True
MI,116,area_code_408,False,False,0,133.3,94,247.8,126,219.0,78,11.3,5,5,True
RI,106,area_code_510,True,False,0,204.0,84,168.5,61,164.0,102,13.3,3,3,True
HI,49,area_code_510,False,False,0,119.3,117,215.1,109,178.7,90,11.1,1,1,False
AK,121,area_code_415,False,False,0,162.4,87,285.2,104,117.4,125,5.8,5,2,False
AZ,127,area_code_415,False,True,29,136.1,146,302.6,105,163.1,116,18.5,2,2,False
TN,102,area_code_510,False,False,0,103.1,70,275.0,129,141.1,92,11.2,5,1,False
TN,45,area_code_415,True,False,0,189.6,96,171.7,69,222.0,102,13.9,7,1,True
AZ,165,area_code_408,False,True,23,184.7,63,168.0,62,176.1,125,8.7,5,1,False
DC,150,area_code_510,True,False,0,114.8,156,135.3,78,218.4,98,15.6,4,1,True
CA,120,area_code_510,False,False,0,134.8,94,204.1,106,238.4,109,6.7,8,1,False
OH,86,area_code_408,False,True,26,141.3,120,134.6,98,195.9,94,13.3,5,1,False
OR,125,area_code_408,False,True,32,96.5,109,145.8,109,174.4,82,9.4,2,1,False
FL,36,area_code_510,False,False,0,195.5,77,156.3,108,217.8,133,7.3,2,1,False
OR,129,area_code_510,False,True,36,192.8,103,177.0,83,216.5,118,16.4,5,1,False
WI,91,area_code_510,False,False,0,217.9,71,230.1,116,232.1,110,10.6,2,1,False
TN,110,area_code_415,False,False,0,227.7,88,170.0,96,128.7,57,11.7,5,1,False
WV,111,area_code_510,False,False,0,214.3,118,208.5,76,182.4,98,12.0,2,1,False
OH,88,area_code_408,False,False,0,274.6,105,161.1,121,194.4,123,9.2,4,2,False
MS,78,area_code_408,False,False,0,108.6,108,209.9,126,222.6,117,7.9,5,1,True
NC,61,area_code_510,False,False,0,7.2,97,221.8,78,174.5,94,12.0,4,1,False
MA,58,area_code_415,False,True,30,178.1,111,236.7,109,264.0,118,8.4,2,0,False
NJ,100,area_code_415,False,False,0,203.8,122,283.1,76,197.3,83,12.5,3,0,False
AK,42,area_code_415,False,False,0,171.0,129,183.9,96,130.2,90,4.6,6,0,False
MA,133,area_code_415,False,False,0,207.1,106,283.5,124,65.2,107,10.5,2,3,False
AR,127,area_code_415,False,True,27,157.6,107,280.6,49,75.1,77,8.0,4,1,False
IL,119,area_code_408,False,False,0,197.2,111,168.1,78,209.8,84,4.2,2,1,False
NE,105,area_code_415,False,True,27,141.2,96,167.7,94,274.4,101,11.4,2,1,False
DE,87,area_code_510,False,False,0,256.2,105,160.7,102,249.4,80,7.4,2,4,False
AL,49,area_code_415,False,True,28,214.4,78,235.2,100,206.2,107,8.0,13,3,False
MA,122,area_code_408,False,True,29,195.4,83,268.2,93,168.0,95,8.4,6,3,False
OR,91,area_code_408,False,False,0,240.8,105,192.8,93,253.4,69,7.6,3,4,False
ME,57,area_code_510,False,True,37,69.5,94,220.9,76,218.5,113,11.9,3,0,False
TN,74,area_code_415,False,True,25,234.4,113,265.9,82,241.4,77,13.7,4,0,False
FL,194,area_code_408,False,True,42,203.7,109,192.9,125,318.0,81,10.8,16,3,False
OH,78,area_code_415,False,True,27,121.9,88,225.4,75,90.8,118,13.0,4,3,False
LA,24,area_code_415,True,False,0,230.5,126,184.7,128,159.1,152,10.6,3,1,False
AL,98,area_code_408,False,False,0,161.0,117,190.9,113,227.7,113,12.1,4,4,False
SC,1,area_code_408,False,False,0,123.8,113,236.2,77,73.2,81,3.7,2,0,False
NV,109,area_code_408,False,True,39,270.0,58,235.5,108,194.3,57,7.8,6,1,True
AK,130,area_code_415,False,False,0,242.5,101,102.8,114,142.4,89,9.3,2,2,False
OK,177,area_code_408,False,False,0,175.4,99,155.3,83,179.4,86,11.5,3,1,False
IA,76,area_code_510,False,False,0,198.3,130,217.1,86,188.4,96,12.5,3,0,False
TX,75,area_code_415,True,False,0,222.4,78,327.0,111,208.0,104,8.7,9,1,True
RI,132,area_code_415,True,True,18,130.7,86,186.1,98,204.8,103,11.9,6,0,False
AK,117,area_code_415,False,False,0,181.5,95,205.1,88,204.0,82,14.7,9,2,False
KY,95,area_code_510,False,False,0,157.3,116,197.5,77,128.2,111,8.4,4,2,False
FL,155,area_code_415,False,False,0,181.4,111,167.7,92,168.5,122,11.3,3,3,False
ID,134,area_code_415,False,False,0,204.7,108,143.1,105,165.8,84,11.0,4,6,False
VA,104,area_code_408,False,False,0,138.7,107,256.9,113,234.9,74,10.0,3,0,False
NE,189,area_code_415,False,True,38,256.7,98,150.5,120,123.0,87,11.4,3,3,False
UT,51,area_code_408,False,True,0,212.9,80,236.1,57,187.6,99,8.8,4,2,False
AL,102,area_code_408,False,False,0,224.7,81,129.4,112,167.6,109,15.8,6,1,False
GA,93,area_code_408,False,True,21,134.2,105,162.5,128,186.6,90,11.8,2,4,True
OH,50,area_code_408,False,False,0,167.7,74,179.9,98,166.5,73,10.9,2,1,False
CO,68,area_code_408,False,False,0,237.1,105,223.5,105,97.4,79,13.2,2,1,False
IL,117,area_code_415,False,False,0,201.9,86,212.3,96,176.9,98,7.8,10,1,False
AL,92,area_code_408,False,False,0,185.8,61,118.1,131,257.5,70,11.8,4,1,False
IN,49,area_code_415,False,True,20,205.9,109,298.4,105,142.1,91,12.3,3,4,False
SD,131,area_code_510,False,False,0,187.9,110,200.5,101,202.6,125,10.2,11,2,False
NH,114,area_code_510,True,True,28,136.4,93,170.0,90,191.5,73,14.6,4,2,True
NH,80,area_code_510,False,False,0,213.3,124,189.6,86,193.7,107,12.1,2,1,False
NV,87,area_code_510,False,True,39,82.6,113,224.4,63,163.6,88,9.5,1,3,False
NJ,126,area_code_415,False,False,0,167.1,138,154.4,93,244.5,148,13.7,10,3,False
NJ,165,area_code_415,False,True,17,177.9,68,153.9,112,251.2,121,10.6,7,1,False
NV,93,area_code_408,False,False,0,114.3,100,221.1,103,126.3,88,10.9,9,0,False
WI,66,area_code_415,True,False,0,208.7,84,173.3,88,264.7,107,8.3,3,3,False
RI,75,area_code_415,False,False,0,122.8,89,211.3,104,261.4,91,10.7,2,2,False
AK,138,area_code_415,False,True,37,75.8,102,173.6,147,162.6,96,8.2,13,0,False
MD,68,area_code_408,False,False,0,150.4,106,199.0,131,109.7,103,12.3,3,3,False
MN,85,area_code_415,False,False,0,255.3,114,194.6,83,276.6,78,3.7,5,3,False
ME,88,area_code_415,False,False,0,192.0,91,127.6,127,155.6,125,7.5,5,1,False
HI,78,area_code_408,False,False,0,89.1,124,226.6,121,249.2,88,6.9,5,0,False
CT,150,area_code_510,False,False,0,189.3,77,220.9,105,238.7,117,9.2,5,4,False
MN,98,area_code_415,False,False,0,72.8,107,186.4,103,175.3,110,10.5,4,3,False
MI,139,area_code_415,False,True,20,214.6,101,235.1,132,162.8,132,14.8,12,0,False
KY,122,area_code_408,False,True,27,253.7,84,229.2,109,190.5,123,9.2,5,7,False
NJ,42,area_code_408,True,False,0,180.7,127,174.6,94,165.3,114,12.0,6,2,False
GA,158,area_code_415,False,False,0,165.4,70,280.1,104,121.8,106,10.4,9,1,False
ME,149,area_code_415,False,True,18,148.5,106,114.5,106,178.3,98,6.5,4,0,False
HI,87,area_code_408,False,True,28,143.5,106,223.5,147,175.4,69,11.2,5,0,False
MI,157,area_code_415,False,True,28,192.6,107,195.5,74,109.7,139,6.8,5,3,False
DC,29,area_code_510,False,False,0,182.1,92,180.4,91,206.4,128,7.2,2,2,False
CO,157,area_code_415,False,False,0,196.0,74,213.4,96,196.8,81,7.9,6,1,False
PA,88,area_code_510,False,False,0,218.2,76,169.3,60,141.1,99,8.0,1,1,False
PA,61,area_code_415,False,True,31,252.1,98,215.7,149,135.7,117,5.1,4,2,False
AL,121,area_code_408,False,True,35,68.7,95,209.2,69,197.4,42,11.4,4,1,False
NV,111,area_code_415,False,False,0,304.6,56,157.6,101,188.2,116,12.4,1,1,True
AR,130,area_code_415,False,False,0,182.1,136,204.2,99,355.1,135,12.0,7,2,False
WI,89,area_code_415,False,False,0,326.3,112,165.1,110,162.9,97,7.5,1,1,True
AK,126,area_code_415,False,True,31,278.0,88,253.2,65,223.2,114,8.7,4,0,False
SC,36,area_code_415,False,False,0,184.6,132,193.7,69,283.5,83,5.9,3,1,False
VT,99,area_code_408,False,True,19,87.7,103,223.0,86,182.3,112,7.3,4,2,False
SD,126,area_code_415,False,True,23,114.3,102,190.3,103,240.4,111,12.6,7,3,False
OK,82,area_code_408,False,False,0,182.3,106,259.9,102,150.5,98,10.9,6,1,False
WI,137,area_code_510,False,False,0,155.5,81,133.1,94,253.1,77,9.1,2,1,False
AL,41,area_code_510,False,True,34,194.4,63,254.9,110,160.2,115,17.2,9,2,False
MA,132,area_code_408,False,True,36,201.9,93,156.3,75,131.3,92,13.7,5,0,False
NY,91,area_code_510,False,False,0,109.8,100,189.6,104,206.7,85,11.1,3,1,False
SC,78,area_code_415,False,False,0,131.4,98,189.9,95,147.4,83,11.2,2,2,False
WV,32,area_code_408,False,True,26,266.7,109,232.3,107,212.8,98,16.3,4,1,False
NH,131,area_code_415,False,False,0,55.5,79,163.5,104,128.1,59,10.1,4,1,False
LA,109,area_code_415,False,True,27,166.9,85,221.2,92,197.3,97,12.3,4,1,True
AK,78,area_code_408,False,False,0,225.1,67,199.2,127,175.5,102,14.6,2,0,False
FL,190,area_code_415,False,False,0,196.1,95,228.3,88,243.6,95,7.6,3,3,False
LA,91,area_code_415,False,False,0,190.5,128,205.5,103,130.7,63,13.8,5,0,False
VA,113,area_code_408,False,True,30,208.9,87,145.2,89,198.2,77,14.9,5,2,False
UT,188,area_code_408,False,False,0,231.1,92,182.4,93,227.2,89,9.8,5,4,False
NM,53,area_code_415,False,False,0,143.8,102,199.6,124,177.8,65,7.8,4,1,False
DC,82,area_code_510,False,False,0,143.9,61,194.9,105,109.6,94,11.1,2,1,False
KY,53,area_code_510,False,False,0,171.5,75,224.5,111,187.4,84,9.7,6,1,False
WY,69,area_code_415,False,False,0,211.7,94,236.1,124,252.7,90,7.2,2,4,False
OK,146,area_code_510,False,False,0,138.4,104,158.9,122,47.4,73,3.9,9,4,True
WI,93,area_code_415,False,False,0,199.7,109,114.2,68,241.0,109,7.1,2,0,False
KY,98,area_code_415,False,False,0,189.8,113,271.5,111,218.9,96,13.0,5,1,False
MA,132,area_code_415,False,False,0,117.6,66,214.0,108,239.5,94,8.8,5,1,False
NH,90,area_code_408,False,False,0,140.2,97,213.9,102,120.0,126,7.1,2,1,False
NV,113,area_code_415,False,True,23,205.0,101,152.0,60,158.6,59,10.2,5,2,False
MN,142,area_code_510,False,True,40,237.4,105,175.9,93,210.3,110,9.2,3,3,False
AK,59,area_code_408,False,False,0,159.5,96,167.2,123,138.6,106,10.2,4,0,False
MO,112,area_code_415,False,False,0,335.5,77,212.5,109,265.0,132,12.7,8,2,True
MS,96,area_code_510,False,False,0,98.2,100,307.2,88,182.5,120,7.6,1,2,False
NJ,124,area_code_415,False,False,0,108.2,92,214.3,83,185.5,155,13.2,11,4,True
IN,115,area_code_415,False,False,0,226.4,101,276.8,60,213.4,82,12.3,4,3,True
UT,66,area_code_415,False,False,0,192.4,98,187.0,93,132.9,82,11.2,1,0,False
NV,64,area_code_408,False,False,0,148.1,73,164.9,101,216.0,125,12.3,2,5,True
NJ,131,area_code_415,False,False,0,211.8,115,260.5,102,144.2,96,10.8,7,0,False
